SID,科目コード,評点,主担当
000023,00020185910013,70,0266
000911,00020185910013,76,0266
000184,00020185910013,75,0266
000315,00020185910013,77,0266
000307,00020185910013,83,0266
000079,00020185910013,67,0266
001435,00020185910013,89,0266
000919,00020185910013,76,0266
000747,00020185910013,75,0266
001310,00020185910013,75,0266
000774,00020185910013,82,0266
000614,00020185910013,78,0266
001254,00020185910013,81,0266
001244,00020185910013,75,0266
001101,00020185910013,80,0266
000290,00020185910013,84,0266
000528,00020185910013,75,0266
001215,00020185910013,81,0266
001048,00020185910013,91,0266
000426,00020185910013,72,0266
001317,00020185910013,80,0266
000068,00020185910013,73,0266
000378,00020185910013,79,0266
000755,00020185910013,69,0266
000345,00020185910013,82,0266
000832,00020185910013,75,0266
000554,00020185910013,73,0266
000363,00020185910013,81,0266
001003,00020185910013,87,0266
000869,00020185910013,79,0266
000098,00020185910013,77,0266
000222,00020185910013,84,0266
001266,00020185910013,90,0266
001338,00020185910013,76,0266
000947,00020185910013,75,0266
000283,00020185910013,58,0266
000712,00020185910013,75,0266
001368,00020185910013,74,0266
000013,00020185910013,78,0266
001084,00020185910013,77,0266
000012,00020185910013,85,0266
000561,00020185910013,67,0266
000306,00020185910013,88,0266
001320,00020185910013,79,0266
000844,00020185910013,77,0266
000879,00020185910013,85,0266
000920,00020185910013,86,0266
000141,00020185910013,82,0266
000511,00020185910013,82,0266
001238,00020185910013,69,0266
001112,00020185910013,90,0266
000421,00020185910013,75,0266
000702,00020185910013,76,0266
000708,00020185910013,78,0266
000819,00020185910013,69,0266
000211,00020185910013,70,0266
000464,00020185910013,74,0266
000782,00020185910013,80,0266
000483,00020185910013,78,0266
001077,00020185910013,79,0266
001302,00020185910013,68,0266
000718,00020185910013,75,0266
000727,00020185910013,82,0266
000792,00020185910013,78,0266
000228,00020185910013,79,0266
000870,00020185910013,86,0266
000595,00020185910013,78,0266
000967,00020185910013,76,0266
000724,00020185910013,82,0266
000655,00020185910013,80,0266
000983,00020185910013,76,0266
000152,00020185910013,80,0266
000707,00020185910013,89,0266
000005,00020185910013,75,0266
000352,00020185910013,88,0266
001029,00020185910013,72,0266
000240,00020185910013,74,0266
001210,00020185910013,75,0266
000327,00020185910013,78,0266
000472,00020185910013,76,0266
000372,00020185910013,76,0266
000029,00020185910013,82,0266
000413,00020185910013,73,0266
000450,00020185910013,72,0266
001375,00020185910013,80,0266
