SID,科目コード,評点
000254,00020185910013,89
000056,00020185910013,80
000377,00020185910013,84
000930,00020185910013,78
000753,00020185910013,91
001181,00020185910013,60
000779,00020185910013,71
001031,00020185910013,74
000310,00020185910013,84
000054,00020185910013,77
001138,00020185910013,79
000065,00020185910013,79
000892,00020185910013,84
000493,00020185910013,79
000437,00020185910013,73
000034,00020185910013,80
001343,00020185910013,78
000955,00020185910013,81
000873,00020185910013,78
001223,00020185910013,77
000696,00020185910013,69
000961,00020185910013,83
000741,00020185910013,73
000253,00020185910013,81
000920,00020185910013,79
000452,00020185910013,76
000551,00020185910013,87
000778,00020185910013,77
001374,00020185910013,84
000178,00020185910013,76
000727,00020185910013,79
000603,00020185910013,80
000333,00020185910013,80
001094,00020185910013,84
001285,00020185910013,67
000546,00020185910013,72
001444,00020185910013,81
000411,00020185910013,86
001014,00020185910013,82
000580,00020185910013,82
000513,00020185910013,75
001140,00020185910013,80
001067,00020185910013,70
000152,00020185910013,77
000307,00020185910013,70
001199,00020185910013,79
000527,00020185910013,85
000077,00020185910013,85
000492,00020185910013,80
001166,00020185910013,81
000420,00020185910013,77
000179,00020185910013,76
001440,00020185910013,75
000403,00020185910013,73
000555,00020185910013,85
000549,00020185910013,85
001282,00020185910013,72
001128,00020185910013,83
001323,00020185910013,71
001188,00020185910013,76
000219,00020185910013,87
001000,00020185910013,82
000176,00020185910013,80
000722,00020185910013,83
000225,00020185910013,74
001309,00020185910013,67
000290,00020185910013,82
000771,00020185910013,71
000914,00020185910013,81
001117,00020185910013,85
000100,00020185910013,79
001422,00020185910013,78
000391,00020185910013,86
000318,00020185910013,75
000575,00020185910013,74
000089,00020185910013,73
000388,00020185910013,74
000141,00020185910013,71
000895,00020185910013,66
000014,00020185910013,86
001236,00020185910013,84
000032,00020185910013,82
001301,00020185910013,81
000369,00020185910013,82
000096,00020185910013,80
000609,00020185910013,78
000121,00020185910013,91
001338,00020185910013,86
000484,00020185910013,76
001209,00020185910013,77
001339,00020185910013,77
001079,00020185910013,81
000918,00020185910013,78
000532,00020185910013,85
000683,00020185910013,78
001081,00020185910013,74
001163,00020185910013,85
000737,00020185910013,76
001269,00020185910013,80
001260,00020185910013,90
000906,00020185910013,73
000653,00020185910013,75
000682,00020185910013,64
000330,00020185910013,75
000052,00020185910013,83
000327,00020185910013,82
001044,00020185910013,78
001314,00020185910013,74
000754,00020185910013,74
001405,00020185910013,70
001413,00020185910013,84
000255,00020185910013,88
000524,00020185910013,87
001316,00020185910013,78
001084,00020185910013,73
000278,00020185910013,74
000240,00020185910013,76
000781,00020185910013,92
000765,00020185910013,69
000177,00020185910013,80
001243,00020185910013,82
001257,00020185910013,69
000969,00020185910013,77
000266,00020185910013,80
000129,00020185910013,84
000724,00020185910013,68
000839,00020185910013,90
001150,00020185910013,77
001175,00020185910013,91
000782,00020185910013,77
000987,00020185910013,73
001062,00020185910013,82
000648,00020185910013,84
000948,00020185910013,67
000449,00020185910013,87
000503,00020185910013,65
001060,00020185910013,74
000746,00020185910013,83
000436,00020185910013,82
001030,00020185910013,65
001295,00020185910013,89
000243,00020185910013,79
000992,00020185910013,83
000827,00020185910013,91
001359,00020185910013,61
000254,00020171940015,85
000056,00020171940015,79
000377,00020171940015,82
000930,00020171940015,79
000753,00020171940015,89
001181,00020171940015,59
000779,00020171940015,64
001031,00020171940015,78
000310,00020171940015,82
000054,00020171940015,75
001138,00020171940015,88
000065,00020171940015,72
000892,00020171940015,85
000493,00020171940015,76
000437,00020171940015,76
000034,00020171940015,85
001343,00020171940015,75
000955,00020171940015,78
000873,00020171940015,78
001223,00020171940015,81
000696,00020171940015,70
000961,00020171940015,77
000741,00020171940015,79
000253,00020171940015,82
000920,00020171940015,79
000452,00020171940015,78
000551,00020171940015,84
000778,00020171940015,76
001374,00020171940015,81
000178,00020171940015,81
000727,00020171940015,77
000603,00020171940015,71
000333,00020171940015,85
001094,00020171940015,87
001285,00020171940015,71
000546,00020171940015,70
001444,00020171940015,77
000411,00020171940015,84
001014,00020171940015,81
000580,00020171940015,79
000513,00020171940015,75
001140,00020171940015,74
001067,00020171940015,73
000152,00020171940015,80
000307,00020171940015,69
001199,00020171940015,77
000527,00020171940015,87
000077,00020171940015,86
000492,00020171940015,76
001166,00020171940015,81
000420,00020171940015,78
000179,00020171940015,79
001440,00020171940015,71
000403,00020171940015,77
000555,00020171940015,78
000549,00020171940015,88
001282,00020171940015,69
001128,00020171940015,88
001323,00020171940015,71
001188,00020171940015,82
000219,00020171940015,87
001000,00020171940015,83
000176,00020171940015,72
000722,00020171940015,79
000225,00020171940015,79
001309,00020171940015,69
000290,00020171940015,89
000771,00020171940015,69
000914,00020171940015,85
001117,00020171940015,87
000100,00020171940015,78
001422,00020171940015,85
000391,00020171940015,83
000318,00020171940015,73
000575,00020171940015,77
000089,00020171940015,75
000388,00020171940015,76
000141,00020171940015,67
000895,00020171940015,67
000014,00020171940015,79
001236,00020171940015,81
000032,00020171940015,87
001301,00020171940015,82
000369,00020171940015,84
000096,00020171940015,83
000609,00020171940015,80
000121,00020171940015,96
001338,00020171940015,83
000484,00020171940015,77
001209,00020171940015,86
001339,00020171940015,84
001079,00020171940015,80
000918,00020171940015,84
000532,00020171940015,77
000683,00020171940015,73
001081,00020171940015,64
001163,00020171940015,87
000737,00020171940015,88
001269,00020171940015,79
001260,00020171940015,90
000906,00020171940015,74
000653,00020171940015,74
000682,00020171940015,67
000330,00020171940015,81
000052,00020171940015,83
000327,00020171940015,78
001044,00020171940015,73
001314,00020171940015,73
000754,00020171940015,72
001405,00020171940015,69
001413,00020171940015,73
000255,00020171940015,90
000524,00020171940015,86
001316,00020171940015,78
001084,00020171940015,84
000278,00020171940015,83
000240,00020171940015,73
000781,00020171940015,78
000765,00020171940015,70
000177,00020171940015,84
001243,00020171940015,77
001257,00020171940015,72
000969,00020171940015,80
000266,00020171940015,78
000129,00020171940015,81
000724,00020171940015,71
000839,00020171940015,89
001150,00020171940015,79
001175,00020171940015,81
000782,00020171940015,77
000987,00020171940015,68
001062,00020171940015,86
000648,00020171940015,79
000948,00020171940015,66
000449,00020171940015,84
000503,00020171940015,75
001060,00020171940015,74
000746,00020171940015,88
000436,00020171940015,79
001030,00020171940015,77
001295,00020171940015,89
000243,00020171940015,70
000992,00020171940015,84
000827,00020171940015,86
001359,00020171940015,64
000254,00020211140027,79
000056,00020211140027,77
000377,00020211140027,80
000930,00020211140027,76
000753,00020211140027,89
001181,00020211140027,64
000779,00020211140027,72
001031,00020211140027,80
000310,00020211140027,81
000054,00020211140027,73
001138,00020211140027,81
000065,00020211140027,80
000892,00020211140027,72
000493,00020211140027,77
000437,00020211140027,72
000034,00020211140027,80
001343,00020211140027,72
000955,00020211140027,82
000873,00020211140027,81
001223,00020211140027,80
000696,00020211140027,61
000961,00020211140027,79
000741,00020211140027,77
000253,00020211140027,77
000920,00020211140027,76
000452,00020211140027,85
000551,00020211140027,92
000778,00020211140027,73
001374,00020211140027,82
000178,00020211140027,74
000727,00020211140027,81
000603,00020211140027,74
000333,00020211140027,85
001094,00020211140027,79
001285,00020211140027,67
000546,00020211140027,65
001444,00020211140027,84
000411,00020211140027,86
001014,00020211140027,78
000580,00020211140027,92
000513,00020211140027,73
001140,00020211140027,73
001067,00020211140027,74
000152,00020211140027,74
000307,00020211140027,67
